name,address_or_area,region,prefecture,primary_category,public_label,planning_flags,launch_tier,status,public_render,address_verified,source_type,original_category
Osaka Aquarium Kaiyukan,"Osaka, Osaka",Kansai,Osaka,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Cup Noodles Museum Osaka Ikeda,"Ikeda, Osaka",Kansai,Osaka,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Osaka Science Museum,"Osaka, Osaka",Kansai,Osaka,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Himeji Castle,"Himeji, Hyogo",Kansai,Hyogo,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kinosaki Onsen,"Toyooka, Hyogo",Kansai,Hyogo,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Kobe Animal Kingdom,"Kobe, Hyogo",Kansai,Hyogo,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Nunobiki Ropeway & Herb Gardens,"Kobe, Hyogo",Kansai,Hyogo,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Lake Biwa Lakeside Day,"Otsu (Lake Biwa), Shiga",Kansai,Shiga,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Shigaraki Pottery Village,"Shigaraki, Shiga",Kansai,Shiga,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Nachi Falls,"Nachi-Katsuura, Wakayama",Kansai,Wakayama,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Miyajima Island,"Miyajima (Hatsukaichi), Hiroshima",Chugoku,Hiroshima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Hiroshima Peace Memorial Park (parent-led),"Hiroshima City, Hiroshima",Chugoku,Hiroshima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shukkeien Garden,"Hiroshima City, Hiroshima",Chugoku,Hiroshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Okunoshima Rabbit Island,"Okunoshima (Takehara), Hiroshima",Chugoku,Hiroshima,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Sandankyo Gorge,"Akiota, Hiroshima",Chugoku,Hiroshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Asa Zoological Park,"Hiroshima City, Hiroshima",Chugoku,Hiroshima,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Senkoji Park & Ropeway (Onomichi),"Onomichi, Hiroshima",Chugoku,Hiroshima,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Shimanami Kaido (family cycling),"Onomichi/Imabari, Hiroshima/Ehime",Chugoku,Hiroshima/Ehime,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kurashiki Bikan Historical Quarter,"Kurashiki, Okayama",Chugoku,Okayama,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Okayama Korakuen Garden,"Okayama City, Okayama",Chugoku,Okayama,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kibi Plains Cycling,"Okayama, Okayama",Chugoku,Okayama,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Tottori Sand Dunes,"Tottori City, Tottori",Chugoku,Tottori,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Tottori Sand Museum,"Tottori City, Tottori",Chugoku,Tottori,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Uradome Coast,"Iwami, Tottori",Chugoku,Tottori,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Izumo Taisha,"Izumo, Shimane",Chugoku,Shimane,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shimane Aquarium Aquas,"Hamada, Shimane",Chugoku,Shimane,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Tsuwano (small castle town),"Tsuwano, Shimane",Chugoku,Shimane,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Akiyoshido Cave,"Mine, Yamaguchi",Chugoku,Yamaguchi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kintaikyo Bridge,"Iwakuni, Yamaguchi",Chugoku,Yamaguchi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Tsunoshima Bridge Viewpoint,"Shimonoseki, Yamaguchi",Chugoku,Yamaguchi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Shimanami Kaido (2-day easy pace),"Shimanami, Ehime/Hiroshima",Shikoku,Ehime/Hiroshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Dogo Onsen,"Matsuyama, Ehime",Shikoku,Ehime,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Matsuyama Castle (ropeway option),"Matsuyama, Ehime",Shikoku,Ehime,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Uchiko Old Town,"Uchiko, Ehime",Shikoku,Ehime,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Ritsurin Garden,"Takamatsu, Kagawa",Shikoku,Kagawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Udon Making Experience (Kagawa),"Takamatsu/Kotohira, Kagawa",Shikoku,Kagawa,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Shodoshima Olive Park,"Shodoshima, Kagawa",Shikoku,Kagawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Angel Road (tide path),"Shodoshima, Kagawa",Shikoku,Kagawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Naoshima Art Island (selected stops),"Naoshima, Kagawa",Shikoku,Kagawa,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Naruto Whirlpools (viewpoint or cruise),"Naruto, Tokushima",Shikoku,Tokushima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Iya Valley Vine Bridge (Kazurabashi),"Miyoshi, Tokushima",Shikoku,Tokushima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Oboke Gorge Boat,"Miyoshi, Tokushima",Shikoku,Tokushima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Udatsu Townscape (Wakimachi),"Mima, Tokushima",Shikoku,Tokushima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Awa Odori Kaikan,"Tokushima City, Tokushima",Shikoku,Tokushima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shimanto River Day,"Shimanto, Kochi",Shikoku,Kochi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Katsurahama Beach,"Kochi City, Kochi",Shikoku,Kochi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kochi Castle,"Kochi City, Kochi",Shikoku,Kochi,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Hirome Market (food hall),"Kochi City, Kochi",Shikoku,Kochi,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Cape Ashizuri,"Tosashimizu, Kochi",Shikoku,Kochi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Muroto Geopark Coastline,"Muroto, Kochi",Shikoku,Kochi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Ohori Park,"Fukuoka City, Fukuoka",Kyushu,Fukuoka,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Dazaifu Tenmangu (short visit),"Dazaifu, Fukuoka",Kyushu,Fukuoka,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Yanagawa Canal Boat Ride,"Yanagawa, Fukuoka",Kyushu,Fukuoka,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Nagasaki Penguin Aquarium,"Nagasaki City, Nagasaki",Kyushu,Nagasaki,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Glover Garden,"Nagasaki City, Nagasaki",Kyushu,Nagasaki,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kujukushima Aquarium Umikirara,"Sasebo, Nagasaki",Kyushu,Nagasaki,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Kumamoto Castle (select areas),"Kumamoto City, Kumamoto",Kyushu,Kumamoto,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Mt. Aso / Kusasenri,"Aso, Kumamoto",Kyushu,Kumamoto,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Aso Farm/Farm Experience (kid-friendly),"Aso, Kumamoto",Kyushu,Kumamoto,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Takachiho Gorge (viewpoints),"Takachiho, Miyazaki",Kyushu,Miyazaki,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Udo Jingu (cave shrine by the sea),"Nichinan, Miyazaki",Kyushu,Miyazaki,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Beppu “Hells” + Onsen Town,"Beppu, Oita",Kyushu,Oita,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Yufuin Onsen Town,"Yufuin, Oita",Kyushu,Oita,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
African Safari (Oita),"Usa, Oita",Kyushu,Oita,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Takasakiyama Monkey Park,"Oita City, Oita",Kyushu,Oita,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Sakurajima Volcano Views (ferry optional),"Kagoshima City, Kagoshima",Kyushu,Kagoshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Sengan-en Garden,"Kagoshima City, Kagoshima",Kyushu,Kagoshima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Yakushima: Shiratani Unsuikyo (short trails),"Yakushima, Kagoshima",Kyushu,Kagoshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
"Yakushima: Nagata Inakahama (sea turtles, seasonal)","Yakushima, Kagoshima",Kyushu,Kagoshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Arita Pottery Town (porcelain making/painting),"Arita, Saga",Kyushu,Saga,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Okinawa Churaumi Aquarium,"Motobu, Okinawa",Okinawa,Okinawa,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Emerald Beach,"Motobu, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Bise Fukugi Tree Road,"Motobu, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Tropical Dream Center (plants),"Motobu, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Cape Manzamo,"Onna, Okinawa",Okinawa,Okinawa,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
"Blue Cave Snorkel (guided, optional)","Onna, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
DMM Kariyushi Aquarium,"Tomigusuku, Okinawa",Okinawa,Okinawa,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Makishi Public Market,"Naha, Okinawa",Okinawa,Okinawa,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Shuri Castle Park,"Naha, Okinawa",Okinawa,Okinawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Okinawa World & Gyokusendo Cave,"Nanjo, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Sefa-Utaki,"Nanjo, Okinawa",Okinawa,Okinawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Valley of Gangala (guided nature walk),"Nanjo, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Gesashi Bay Mangrove Kayak,"Higashi, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kerama Islands Day Trip (snorkel beaches),"Kerama Islands, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Zamami: Furuzamami Beach,"Zamami, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Tokashiki: Aharen Beach,"Tokashiki, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kabira Bay (Ishigaki),"Ishigaki, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Taketomi Island Village Cycling,"Taketomi, Okinawa",Okinawa,Okinawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Iriomote Mangrove Cruise,"Iriomote, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
"Peace Memorial Park (optional, parent-led)","Itoman, Okinawa",Okinawa,Okinawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Tokyo Disneyland,"1-1 Maihama, Urayasu, Chiba 279-0031",Kanto,Chiba,Do,theme_parks,with_kids,standard,ready,True,False,backlog_import,Theme Parks & Big Attractions
Tokyo DisneySea,"1-13 Maihama, Urayasu, Chiba 279-8511",Kanto,Chiba,Do,theme_parks,with_kids,standard,ready,True,False,backlog_import,Theme Parks & Big Attractions
Pokémon Center MEGA TOKYO,"Sunshine City alpa 2F, 3-1-2 Higashi-Ikebukuro, Toshima City, Tokyo 170-6002",Kanto,Tokyo,See,anime,with_kids,standard,ready,True,False,backlog_import,Anime/Ghibli
Warner Bros. Studio Tour Tokyo – The Making of Harry Potter,"1-1-7 Kasugacho, Nerima City, Tokyo 179-0074",Kanto,Tokyo,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
