name,name_jp,city,prefecture,primary_cat,price_tier,description,distinctive,source_url
KAI Poroto,界 ポロト,Shiraoi,Hokkaido,onsen_ryokan,upscale,"Lakeside onsen ryokan overlooking Lake Poroto, opened 2022 by Hoshino Resorts. Interiors celebrate Ainu culture.",Cone-shaped bathhouse inspired by Ainu architecture; moor spring waters.,https://hoshinoresorts.com/en/hotels/kaiporoto/
KAI Yufuin,界 由布院,Yufu,Oita,design_hotel,upscale,Kengo Kuma-designed hot-spring ryokan between Mt Yufu and rice terraces.,"Outdoor baths overlooking terraces, Firefly Room with shichitoi-straw installation",https://hoshinoresorts.com/en/hotels/kaiyufuin/
KAI Tamatsukuri,界 玉造,Matsue,Shimane,onsen_ryokan,upscale,"Riverside ryokan on Japan's oldest hot spring, Tamatsukuri.",Magatama-themed rooms and Iwami Kagura performances.,https://hoshinoresorts.com/en/hotels/kaitamatsukuri/
KAI Izumo,界 出雲,Izumo,Shimane,onsen_ryokan,upscale,Coastal ryokan near Izumo Taisha.,Sunset terrace over the Sea of Japan and Izumo mythology programming.,https://hoshinoresorts.com/en/hotels/kaiizumo/
KAI Okuhida,界 奥飛騨,Okuhida,Gifu,mountain_lodge,upscale,Alpine ryokan opened Sept 2024 in the Northern Alps.,Hida-shunkei lacquer art interiors and mountain onsen baths.,https://hoshinoresorts.com/en/hotels/kaiokuhida/
OMO7 Asahikawa,OMO7旭川,Asahikawa,Hokkaido,design_hotel,upscale,"Urban tourism hotel serving as base for Asahiyama Zoo, Furano and Biei.",Go-KINJO neighborhood guides to Asahikawa Zoo and local sake bars.,https://hoshinoresorts.com/en/hotels/omo7asahikawa/
OMO7 Osaka,OMO7大阪,Osaka,Osaka,design_hotel,upscale,436-room hotel in Shinsekai with public bathhouse and Idobata Suite.,Deep Osaka culture hub; takoyaki time and Shinsekai walking tours.,https://hoshinoresorts.com/en/hotels/omo7osaka/
OMO7 Yokohama,OMO7横浜,Yokohama,Kanagawa,design_hotel,upscale,Harbor-area hotel near Tokyo Bay.,Port-city themed base with local Chinatown and waterfront guides.,https://hoshinoresorts.com/en/hotels/omo7yokohama/
OMO5 Tokyo Otsuka,OMO5東京大塚,Toshima,Tokyo,design_hotel,mid,125-room Yagura-style hotel designed by Tatsuro Sasaki.,OMO Base lobby for local Otsuka tram and shopping street exploration.,https://hoshinoresorts.com/en/hotels/omo5tokyootsuka/
OMO5 Kyoto Gion,OMO5京都祇園,Kyoto,Kyoto,design_hotel,mid,Boutique hotel steps from Yasaka Shrine.,Gion alley tours and morning temple walks led by staff.,https://hoshinoresorts.com/en/hotels/omo5kyotogion/
OMO5 Kyoto Sanjo,OMO5京都三条,Kyoto,Kyoto,design_hotel,mid,122-room Sanjo location opened 2021.,Go-KINJO map of Sanjo craft shops and tea houses.,https://hoshinoresorts.com/en/hotels/omo5kyotosanjo/
OMO3 Kyoto Toji,OMO3京都東寺,Kyoto,Kyoto,design_hotel,mid,Temple-district hotel themed around Toji's mandala.,24/7 snack station and guided early-morning Toji temple visit.,https://hoshinoresorts.com/en/hotels/omo3kyototoji/
Risonare Yatsugatake,リゾナーレ八ヶ岳,Hokuto,Yamanashi,resort,upscale,Alpine wine resort designed by Mario Bellini in Yatsugatake foothills.,Wine cellar stay and access to adjacent winery and farmers market.,https://hoshinoresorts.com/en/hotels/risonareyatsugatake/
Risonare Nasu,リゾナーレ那須,Nasu,Tochigi,resort,upscale,Family resort on Nasu Highlands with aggregate hot spring baths.,Farm-to-table dining and outdoor activity field for kids.,https://hoshinoresorts.com/en/hotels/risonarenasu/
Risonare Tomamu,リゾナーレトマム,Shimukappu,Hokkaido,glamping,upscale,All-suite alpine resort in Tomamu's forest with panoramic seasonal views.,"Suites over 100m² each with private sauna and jet bath, access to Cloud Terrace and Ice Village",https://hoshinoresorts.com/en/hotels/risonaretomamu/
Risonare Atami,リゾナーレ熱海,Atami,Shizuoka,glamping,upscale,Cliffside resort with indoor/outdoor onsen overlooking Sagami Bay.,Full-book treehouse library and ocean-view baths.,https://hoshinoresorts.com/en/hotels/risonareatami/
Beniya Mukayu,べにや無何有,Kaga,Ishikawa,onsen_ryokan,luxury,16-room luxury ryokan on former temple site in Yamashiro Onsen.,Private onsen in every suite and moss garden designed by Nakamichi family.,http://mukayu.com/
Gora Kadan,強羅花壇,Hakone,Kanagawa,onsen_ryokan,luxury,Former imperial family villa turned ryokan in manicured gardens.,Kaiseki served in-room and historic villa architecture in Hakone National Park.,https://gorakadan.com/
Tawaraya Ryokan,俵屋旅館,Kyoto,Kyoto,onsen_ryokan,luxury,300-year-old ryokan in central Kyoto with 18 rooms.,Legendary omotenashi and private garden views; no online booking.,https://tawaraya-kyoto.jp/
Hiiragiya Ryokan,柊家旅館,Kyoto,Kyoto,onsen_ryokan,luxury,200-year-old ryokan favored by cultural figures.,Kyoto-style kaiseki and preserved sukiya architecture.,https://hiiragiya.co.jp/
Nishimuraya Honkan,西村屋本館,Toyooka,Hyogo,onsen_ryokan,luxury,150-year-old flagship ryokan in Kinosaki Onsen town.,Classic 7-bath town onsen hopping with yukata and willow-lined canal setting.,https://www.nishimuraya.ne.jp/honkan/
Asaba Ryokan,浅羽旅館,Izu,Shizuoka,onsen_ryokan,luxury,500-year-old ryokan along the Katsura River in Shuzenji.,"Bamboo forest garden, Noh stage, and private river onsen baths.",http://www.asaba-ryokan.com/
Matsuzakaya Honten,松坂屋本店,Hakone,Kanagawa,onsen_ryokan,luxury,360-year-old ryokan established in 1662.,10 open-air baths and all-inclusive traditional experience.,https://www.matsuzakaya-honten.jp/
Satoyama Jujo,里山十帖,Minamiuonuma,Niigata,machiya_kominka,luxury,Renovated 150-year-old kominka with 12 rooms.,Farm-to-table satoyama cuisine and mountain-view open-air onsen.,https://satoyama-jujo.com/
Nazuna Kyoto Tsubaki St,Nazuna 京都 椿通,Kyoto,Kyoto,machiya_kominka,upscale,Entire alley of converted machiya townhouses operating as one inn.,"Book entire historic townhouse with private semi-open-air bath, sake lounge",https://www.nazuna.co/
Book and Bed Tokyo Shinjuku,ブックアンドベッド東京新宿,Tokyo,Tokyo,capsule_themed,budget,Bookstore-themed capsule hostel where guests sleep in bookshelves.,"Sleep inside a bookshelf cubby surrounded by 3,000 books.",https://bookandbedtokyo.com/
Manga Art Hotel Tokyo,マンガアートホテル東京,Tokyo,Tokyo,capsule_themed,budget,"Capsule-style hotel in Jimbocho curated by manga sommeliers with 5,000+ volumes.",Manga library as lobby; themed pods for immersive reading nights.,https://mangaarthotel.com/
Henn na Hotel Tokyo Haneda,変なホテル東京羽田,Tokyo,Tokyo,capsule_themed,mid,Robot-staffed airport hotel with dinosaur front desk.,"Robot check-in and manga corner with 1,000 titles.",https://www.hennnahotel.com/haneda/
Nine Hours Shinjuku,ナインアワーズ新宿,Tokyo,Tokyo,capsule_themed,budget,Minimalist capsule designed by Fumie Shibata around 7h sleep +1h shower +1h lounge.,"Sleek, futuristic pod design; pay-by-the-hour model.",https://ninehours.co.jp/
Hotel Gracery Shinjuku,ホテルグレイスリー新宿,Tokyo,Tokyo,capsule_themed,mid,Shinjuku hotel famous for life-size Godzilla head on terrace.,Godzilla-themed rooms and direct view of Godzilla head from terrace.,https://shinjuku.gracery.com/
Trunk Hotel,TRUNK(HOTEL),Shibuya,Tokyo,design_hotel,upscale,15-room boutique on Cat Street mixing Japanese craft with Scandinavian simplicity.,Social-impact concept; locally sourced interiors and rooftop bar.,https://trunk-hotel.com/
Aman Kyoto,アマン京都,Kyoto,Kyoto,onsen_ryokan,luxury,Low-rise resort in hidden garden forest north of Kyoto.,Secret garden arrival and onsen-equipped pavilions.,https://www.aman.com/resorts/aman-kyoto
Amanemu,アマネム,Shima,Mie,onsen_ryokan,luxury,Ryokan-inspired Aman resort beside Ago Bay in Ise-Shima.,Private onsen mineral baths and wellness focus on Japanese onsen therapy.,https://www.aman.com/resorts/amanemu
Zaborin,坐忘林,Kutchan,Hokkaido,onsen_ryokan,luxury,"15-villa forest ryokan near Niseko, each villa with private indoor and outdoor onsen. Serves seasonal Kita-kaiseki in a minimalist setting.",Each villa has private outdoor onsen and forest views; modernist design.,https://zaborin.com/
Ekoin,恵光院,Koya,Wakayama,temple_stay,mid,"Temple lodging on Mt. Koya with 1,200 years of history.","Morning Buddhist services, shojin ryori, and cemetery night tour to Okunoin.",http://www.ekoin.jp/
Fujiya Hotel Hakone,富士屋ホテル,Hakone,Kanagawa,heritage_hotel,upscale,Historic Western-style resort opened 1878.,Meiji-era classic hotel architecture; first resort hotel in Japan.,https://www.fujiyahotel.jp/
Nara Hotel,奈良ホテル,Nara,Nara,heritage_hotel,upscale,Five-star historic hotel opened 1909 designed by Tatsuno Kingo overlooking Nara Park.,Taisho-era wooden interiors and tea lounge with deer park views.,https://narahotel.co.jp/
Hotel Gajoen Tokyo,ホテル雅叙園東京,Meguro,Tokyo,heritage_hotel,upscale,Art deco hotel famous for its Hyakudan Kaidan staircase.,Museum-hotel with preserved Showa-era art interiors.,https://www.hotelgajoen-tokyo.com/
Andon Ryokan,行燈旅館,Taito,Tokyo,onsen_ryokan,mid,Contemporary ryokan near Asakusa.,Minimalist tatami rooms with modern lighting design.,https://andon.co.jp/
Onsen Ryokan Yuen Shinjuku,温泉旅館 由縁新宿,Shinjuku,Tokyo,onsen_ryokan,upscale,Urban onsen ryokan with rooftop bath.,Natural hot spring drawn to Shinjuku; tatami lobby lounge.,https://www.yuen-shinjuku.jp/
Setouchi Cominca Stays,Setouchi Cominca Stays,Onomichi,Hiroshima,machiya_kominka,upscale,High-end kominka converted from former miso factory in preserved merchant district.,"UNESCO-recognized restoration using 17 traditional techniques, private garden stone bath",https://setouchi-cominca.jp/
Treeful Treehouse Sustainable Resort,Treeful Treehouse,Nago,Okinawa,glamping,upscale,Eco treehouse resort powered by renewable energy.,Elevated treehouses with ocean views and zero-impact design.,https://treeful.net/
Kamikochi Imperial Hotel,上高地帝国ホテル,Matsumoto,Nagano,heritage_hotel,upscale,Japan's first mountain resort opened 1933 inside Chubu Sangaku National Park.,"Swiss-style log architecture, only hotel inside Kamikochi valley open late Apr–mid Nov",https://www.imperialhotel.co.jp/j/kamikochi/
Ginzan Onsen Fujiya,銀山温泉 藤屋,Obanazawa,Yamagata,design_hotel,upscale,"Eight-room boutique in center of Ginzan's Taisho streetscape, rebuilt by Kengo Kuma.",Wood-lattice facade and riverside onsen in historic silver-mine town.,https://fujiya-ginzan.com/
Kurokawa Onsen Yamamizuki,黒川温泉 山みず木,Minamioguni,Kumamoto,onsen_ryokan,upscale,Riverside ryokan with private cave baths.,9 different private onsen baths and forest setting.,https://www.yamamizuki.com/
guntû,ガンツウ,Seto Inland Sea,Hiroshima/Okayama,resort,luxury,Floating ryokan with 19 suites cruising the Seto Inland Sea.,Small-ship luxury: open-air onsen baths on board and daily island excursions.,https://guntu.jp
Tsuru no Yu Onsen,鶴の湯温泉,Semboku,Akita,machiya_kominka,mid,"Founded 1638, oldest thatched honjin in Nyuto Onsenkyo beech forest.",Iconic milky-white mixed-gender rotenburo fed directly from the source.,http://www.tsurunoyu.com/
Lamp no Yado Aoni Onsen,ランプの宿 青荷温泉,Kuroishi,Aomori,onsen_ryokan,mid,"Remote mountain inn lit only by oil lamps, no electricity in rooms.",Digital detox stay; four distinct spring sources and lamp-lit river baths. Verify operating status after 2024 Noto reports.,https://www.aoninet.com/
Setouchi Retreat Aonagi,瀬戸内リトリート青凪,Matsuyama,Ehime,design_hotel,luxury,Tadao Ando-designed former museum turned 7-room minimalist hotel.,Concrete architecture framing Seto Inland Sea; rooftop infinity pool.,https://www.setouchi-aonagi.com/
Onomichi U2,ONOMICHI U2,Onomichi,Hiroshima,design_hotel,mid,Renovated 1943 waterfront warehouse complex with Hotel Cycle.,"Cyclist-first hotel: in-room bike racks, repair station, Shimanami Kaido access.",https://onomichi-u2.com/hotel-cycle/
Hakone Ginyu,箱根吟遊,Hakone,Kanagawa,onsen_ryokan,luxury,20-room hillside retreat where each room has its own open-air bath overlooking Haya River canyon.,Private terrace onsen in every room; Balinese-inspired spa and kaiseki.,http://www.hakoneginyu.co.jp/
Kinnotake Tonosawa,金乃竹 塔ノ沢,Hakone,Kanagawa,onsen_ryokan,luxury,Adult-only luxury ryokan with 8 forest suites.,Each suite has private source-fed onsen and suspension-bridge forest views.,https://kinnotake-resorts.com/kinnotake-tonosawa/
Takefue,竹ふえ,Minamioguni,Kumamoto,onsen_ryokan,luxury,"11 private lodges scattered in 16,500 sqm bamboo forest.",Lodges built around natural hot spring streams; seasonal mountain-foraged kaiseki.,https://takefue.com
UNWIND HOTEL & BAR OTARU,UNWIND HOTEL & BAR 小樽,Otaru,Hokkaido,heritage_hotel,mid,"Boutique renovation of 1931 Etchuya Hotel, Hokkaido's first hotel for foreigners.","Art Deco facade, stained glass, free evening wine, canal-side heritage",https://www.livelyhotels.com/unwindotaru/
WE Hotel Toya,WE ホテル洞爺,Toyako,Hokkaido,design_hotel,upscale,Kengo Kuma redesign of former nursing home into nature-inspired lakeside boutique.,"Cave-like lobby with local cedar, every room has balcony hinoki bathtub overlooking Lake Toya",https://www.wehoteltoya.com/
Kitakobushi Shiretoko Hotel & Resort,北こぶし知床 ホテル＆リゾート,Shari,Hokkaido,mountain_lodge,upscale,Large resort at edge of Shiretoko World Natural Heritage site in Utoro.,"8th-floor infinity onsen overlooking Sea of Okhotsk, Shiretoko seafood buffet",https://www.shiretoko.co.jp/en/
Lake Shikaribetsu Kotan,然別湖コタン,Shikaoi,Hokkaido,glamping,mid,Seasonal ice village built on frozen Lake Shikaribetsu each winter Jan-Mar.,"Overnight igloo hotel, ice bar, ice chapel, rotenburo carved from ice",https://kotan.jp/
Niseko Konbu Onsen Tsuruga Besso Moku no Sho,鶴雅別荘 杢の抄,Niseko,Hokkaido,onsen_ryokan,luxury,25-room luxury ryokan at foot of Mt Yotei in birch forest.,"Moor-spring ""konbu"" onsen, private forest bathhouses, Niseko-ingredient kaiseki",https://www.mokunosho.com/
"Higashiyama Niseko Village, a Ritz-Carlton Reserve",東山ニセコビレッジ・リッツ・カールトン・リザーブ,Niseko,Hokkaido,mountain_lodge,luxury,Japan's first Ritz-Carlton Reserve with 50 rooms in alpine setting.,"Ainu-inspired spa rituals, ski-in ski-out access, onsen suites",https://www.ritzcarlton.com/en/hotels/ctsrz-higashiyama-niseko-village-a-ritz-carlton-reserve/
GLAMPING STAY TOMAMU,グランピングステイトマム,Shimukappu,Hokkaido,glamping,mid,Year-round dome glamping near Tomamu Station with 15 insulated domes.,"Domes stay ~20°C in -20°C winter, Hokkaido wagyu BBQ, pet-friendly",https://glampingstaytomamu.hokkaido.jp/
Hoshino Resorts Oirase Keiryu Hotel,奥入瀬渓流ホテル,Towada,Aomori,mountain_lodge,upscale,Only hotel built directly on banks of Oirase Gorge in national park.,"All public spaces face mossy stream, apple-themed French cuisine, Mt Hakkoda baths",https://hoshinoresorts.com/ja/hotels/oirasekeiryu/
Hoshino Resorts Aomoriya,青森屋,Misawa,Aomori,onsen_ryokan,upscale,Parkland onsen resort recreating Aomori festivals year-round.,"365-day Nebuta decorations, pond-floating rotenburo, horse-drawn carriage lanes",https://hoshinoresorts.com/ja/hotels/aomoriya/
Shonai Hotel Suiden Terrasse,ショウナイホテル スイデンテラス,Tsuruoka,Yamagata,design_hotel,mid,Shigeru Ban-designed hotel appearing to float on rice paddies.,"Paper-tube structure, paddy-view rooms, natural hot spring, farm-to-table dining",https://suiden-terrasse.jp/
Takamiya Ryokan Miyamaso,深山荘 高見屋,Yamagata,Yamagata,onsen_ryokan,upscale,300-year-old landmark in Zao Onsen operating since Kyoho era.,Nine 100% free-flow baths including riverside cypress Seseragi no Yu,http://www.zao.co.jp/takamiya/
Mt. Haguro Saikan,羽黒山 斎館,Tsuruoka,Yamagata,temple_stay,budget,"Temple lodging atop Mt Haguro, connected to Dewa Sanzan shrine.","Stay in 1697 building, vegan shojin ryori, morning prayers, 2,446 stone steps approach",http://www.dewasanzan.jp/
Hoshino Resorts KAI Akiu,界 秋保,Sendai,Miyagi,onsen_ryokan,luxury,"Opened April 2024, first KAI in Miyagi overlooking Natori River.","Samurai nature retreat theme with Date Masamune indigo salon, Sendai glass art",https://hoshinoresorts.com/en/hotels/kaiaiku/
Densho Sen-nen no Yado Sakan,伝承千年の宿 佐勘,Sendai,Miyagi,onsen_ryokan,upscale,"Founded 1184 in Akiu Onsen, one of Japan's three oldest springs.","34 generations of hosts, river-view rotenburo, on-site museum",https://www.sakan-ryokan.jp/
Aizu Higashiyama Onsen Mukaitaki,会津東山温泉 向瀧,Aizuwakamatsu,Fukushima,onsen_ryokan,upscale,"Former Aizu clan retreat, registered Tangible Cultural Property since 1873.","Edo-period sukiya architecture, optional private geisha performances",https://www.aizu-mukaitaki.com/
Lien Tono,Lien遠野 語り部のいる宿,Tōno,Iwate,machiya_kominka,mid,Private rental of renovated 70-year-old kominka in Tono Basin.,"Host is certified folktale kataribe, irori fireside stories, wood-fired sauna",https://www.lien-tono.com/
KAI Hakone,界 箱根,Hakone,Kanagawa,onsen_ryokan,luxury,Riverside ryokan along Sukumo River rebuilt around Hakone teahouse culture.,"All rooms river-view, hinoki open-air baths, yosegi marquetry workshops",https://hoshinoresorts.com/en/hotels/kaihakone/
OMO3 Tokyo Akasaka,OMO3東京赤坂,Minato,Tokyo,design_hotel,mid,City-tourism hotel built for exploring Akasaka shrines and yokocho alleys.,Go-KINJO Map and OMO Ranger guided neighborhood tours,https://hoshinoresorts.com/en/hotels/omo3tokyoakasaka/
Train Hostel HOKUTOSEI,トレインホステル北斗星,Chuo,Tokyo,capsule_themed,budget,Hostel built from retired Hokutosei sleeper-express recreating bunks and dining car.,"Authentic train bunks, railway heritage design",https://trainhostelhokutosei.com/
Henn na Hotel Tokyo Hamamatsucho,変なホテル東京浜松町,Minato,Tokyo,capsule_themed,mid,Guinness-record weird hotel with robot and hologram check-in.,"Dinosaur robots, Phiten health-tech rooms, LG Styler closets",https://www.hennnahotel.com/hamamatsucho/
Kinugawa Onsen Asaya,鬼怒川温泉 あさや,Nikko,Tochigi,onsen_ryokan,upscale,130-year-old onsen hotel famous for rooftop sky garden rotenburo.,"Boat-shaped open-air bath, 100+ dish buffet, extensive family facilities",https://www.asaya-hotel.co.jp/
Shukubo Komadori Sanso,駒鳥山荘,Ome,Tokyo,temple_stay,mid,"Mountain lodge belonging to Musashi Mitake Shrine, reached by cable car.","Early-morning takigyo waterfall meditation, cypress barrel baths",https://www.komadorisanso.jp/
Mother Farm Glamping,マザー牧場 グランピング,Futtsu,Chiba,glamping,mid,Glamping village inside working farm on Boso Peninsula opened 2021.,"21 designer tents with Kano Mountain views, star-gazing, farm activities",https://motherfarmglamping.com/
KAI Matsumoto,界 松本,Matsumoto,Nagano,onsen_ryokan,luxury,"29-room Asama Onsen ryokan. Verify operating – closing Sep 2025 for renovation, reopening Summer 2026.","Castle-town culture programs, riverside rotenburo",https://hoshinoresorts.com/en/hotels/kaimatsumoto/
Kamikochi Nishi-Ito-Ya Mountain Lodge,上高地西糸屋山荘,Matsumoto,Nagano,mountain_lodge,upscale,Family-run lodge since 1886 near Myojin Bridge.,"Private riverside baths, exceptional service, historic mountain hospitality",https://nishiitoya.com/
Gosenjaku Hotel Kamikochi,五千尺ホテル上高地,Matsumoto,Nagano,design_hotel,luxury,Design-led lodge using local Hida wood with Hotaka views.,"Artisan furniture, floor-to-ceiling mountain views",https://gosenjaku.co.jp/
Honjin Hiranoya Bekkan,本陣平野屋 別館,Takayama,Gifu,onsen_ryokan,upscale,Traditional ryokan facing Miyagawa River and red Nakabashi bridge.,"Michelin three-star kaiseki, rotenburo with city views",https://honjinhiranoya.co.jp/
Oyado Koto no Yume,お宿 古都の夢,Takayama,Gifu,onsen_ryokan,mid,16-room ryokan with serene garden and indoor mineral hot spring.,"Personalized yukata selection, 5-min walk to Sanmachi historic district",https://kotoyume.com/
Suimeikan,下呂温泉 水明館,Gero,Gifu,onsen_ryokan,upscale,Historic riverside ryokan opened 1932 with four traditional buildings.,Three large baths plus on-site Noh stage,https://www.suimeikan.co.jp/
Shirakawa-go no Yu,白川郷の湯,Shirakawa,Gifu,onsen_ryokan,mid,Inn 2 minutes from UNESCO World Heritage gassho-zukuri village bus terminal.,"Mountain-view rooms, communal onsen, gateway to thatched farmhouses",https://shirakawago-no-yu.jp/
Kayotei,かよう亭,Kaga,Ishikawa,onsen_ryokan,luxury,10-room sukiya-style ryokan in Yamanaka Onsen.,"Kaga-vegetable kaiseki, artisan workshop program, garden views",https://www.kayotei.jp/
KURO Machiya Heritage Hotel,KURO 町家ヘリテージホテル,Kanazawa,Ishikawa,machiya_kominka,upscale,"Boutique stay in 145-year-old former textile machiya, limited to 2 parties nightly.","Entire Edo shophouse, modern art meets traditional architecture",https://kuro-kanazawa.com/
Hotel CLAD,ホテルクラッド,Gotemba,Shizuoka,design_hotel,upscale,Design hotel directly linked to Gotemba Premium Outlets.,"Mt Fuji-view rotenburo at Kinohana no Yu, contemporary interiors",https://hotelclad.jp/
The Shinmonzen,ザ・シンモンゼン,Kyoto,Kyoto,design_hotel,luxury,Tadao Ando-designed 9-suite boutique on Shirakawa canal in Gion.,"Each suite uses different native material, private balconies, Jean-Georges restaurant",https://theshinmonzen.com/
SOWAKA,そわか,Kyoto,Kyoto,machiya_kominka,luxury,Ryokan-style hotel converted from 100-year-old teahouse near Yasaka Shrine.,"Original patina, tatami, kimonoed staff, 23 rooms with private gardens",https://sowaka.com/
FUFU Nara,ふふ奈良,Nara,Nara,onsen_ryokan,luxury,2020 all-suite retreat in Nara Park designed by Kengo Kuma.,Every suite has private outdoor hot-spring bath and engawa garden,https://www.fufunara.jp/
Biwako Ryokusuitei,びわ湖緑水亭,Otsu,Shiga,onsen_ryokan,upscale,Lakeside ryokan at Ogoto Onsen with views of Lake Biwa and Mt Hiei.,"All rooms face lake with private open-air baths, barrel sauna",https://www.ryokusuitei.com/
Zentis Osaka,ゼンティス大阪,Osaka,Osaka,design_hotel,upscale,212-room Design Hotels property in Kita-ku.,"Interiors by Tara Bernerd, raw brick and timber, French-Japanese cuisine",https://zentishotels.com/
Tosen Goshobo,陶泉 御所坊,Kobe,Hyogo,onsen_ryokan,upscale,Historic 20-room ryokan in Arima Onsen with history since 1191.,"Family-run for 800+ years, iron-rich golden springs, literary heritage",http://www.goshoboh.com/
Fukuchiin,福智院,Koyasan,Wakayama,temple_stay,mid,Serene shukubo featuring large garden and vegetarian meals.,"Only Koyasan temple with natural onsen bath, rock garden by Mirei Shigemori",http://www.fukuchiin.com/
Hotel Kawakyu,ホテル川久,Shirahama,Wakayama,onsen_ryokan,luxury,Coastal resort in faux-Norman castle with gold-leaf dome.,"All 85 rooms are suites, many with private rotenburo, ocean views",https://www.hotel-kawakyu.jp/
Izanro Iwasaki,依山楼岩崎,Misasa,Tottori,onsen_ryokan,luxury,Historic ryokan dating to 1920 in Misasa radon hot-spring valley.,"Imperial family patronage, radium onsen famed for health benefits, riverside garden",https://izanro.co.jp/
Kiya Ryokan,木屋旅館,Misasa,Tottori,onsen_ryokan,upscale,"Radium onsen inn established 1868, National Registered Tangible Cultural Property.","Entire Meiji wooden building preserved, radon-mist baths",https://misasa.co.jp/
Takenoya Ryokan,竹野屋旅館,Izumo,Shimane,onsen_ryokan,upscale,140-year-old inn 200m from Izumo Taisha Grand Shrine.,"One-minute walk to shrine, special room hosted Imperial family",https://en.takenoya-ryokan.co.jp/
Ryokan Masuya,旅館ますや,Oda,Shimane,machiya_kominka,mid,"Inn in Yunotsu Onsen, part of UNESCO World Heritage Site.",Bookable Meiji-era suites in Important Preservation District,https://masuya-ginzan.jp/
